Weight_Index,Value
0,-58.0
1,3.0
2,28.0
3,0.0
4,-89.0
5,-27.0
6,51.0
7,60.0
8,-3.0
9,-6.0
10,35.0
11,-40.0
12,38.0
13,-8.0
14,33.0
15,-68.0
16,-82.0
17,-6.0
18,29.0
19,51.0
20,-115.0
21,30.0
22,51.0
23,29.0
24,6.0
25,37.0
26,42.0
27,-89.0
28,48.0
29,-1.0
30,-66.0
31,19.0
32,25.0
33,-88.0
34,28.0
35,31.0
36,23.0
37,25.0
38,54.0
39,-104.0
40,50.0
41,12.0
42,-67.0
43,-3.0
44,62.0
45,1.0
46,-52.0
47,-5.0
48,19.0
49,10.0
50,28.0
51,-69.0
52,37.0
53,4.0
54,11.0
55,-42.0
56,41.0
57,-18.0
58,17.0
59,-30.0
60,24.0
61,-5.0
62,29.0
63,-25.0
64,-31.0
65,22.0
66,1.0
67,0.0
68,6.0
69,41.0
70,-21.0
71,-25.0
72,24.0
73,17.0
74,-50.0
75,5.0
76,32.0
77,-6.0
78,-24.0
79,-15.0
80,55.0
81,11.0
82,-46.0
83,-14.0
84,17.0
85,-16.0
86,11.0
87,-14.0
88,-5.0
89,28.0
90,10.0
91,-32.0
92,-9.0
93,0.0
94,-11.0
95,21.0
96,2.0
97,18.0
98,-30.0
99,10.0
100,-8.0
101,26.0
102,-41.0
103,9.0
104,15.0
105,15.0
106,-25.0
107,-5.0
108,9.0
109,-3.0
110,-12.0
111,3.0
112,9.0
113,-12.0
114,-17.0
115,19.0
116,29.0
117,-30.0
118,10.0
119,-13.0
120,41.0
121,-3.0
122,-10.0
123,-25.0
124,42.0
125,-17.0
126,-30.0
127,3.0
128,-5.0
129,21.0
130,-38.0
131,15.0
132,26.0
133,1.0
134,-37.0
135,1.0
136,59.0
137,-9.0
138,-42.0
139,-8.0
140,5.0
141,15.0
142,-17.0
143,-11.0
144,36.0
145,21.0
146,-31.0
147,-24.0
148,41.0
149,-15.0
150,-9.0
151,-13.0
152,31.0
153,-31.0
154,-3.0
155,-8.0
156,17.0
157,4.0
158,3.0
159,-29.0
160,11.0
161,2.0
162,-11.0
163,-5.0
164,23.0
165,14.0
166,-61.0
167,6.0
168,0.0
169,24.0
170,-14.0
171,-10.0
172,6.0
173,-3.0
174,-1.0
175,4.0
176,1.0
177,-6.0
178,-3.0
179,9.0
180,-3.0
181,-2.0
182,-10.0
183,4.0
184,-15.0
185,6.0
186,4.0
187,-2.0
188,18.0
189,-18.0
190,-15.0
191,5.0
192,1.0
193,-3.0
194,-10.0
195,8.0
196,-19.0
197,-22.0
198,-21.0
199,55.0
200,-6.0
201,-1.0
202,-25.0
203,36.0
204,-7.0
205,6.0
206,-10.0
207,12.0
208,19.0
209,-23.0
210,-25.0
211,24.0
212,10.0
213,-9.0
214,-3.0
215,-4.0
216,6.0
217,-13.0
218,-3.0
219,14.0
220,21.0
221,-10.0
222,-21.0
223,16.0
224,18.0
225,-38.0
226,3.0
227,18.0
228,18.0
229,-36.0
230,0.0
231,24.0
232,-1.0
233,-22.0
234,-15.0
235,36.0
236,20.0
237,-10.0
238,-20.0
239,6.0
240,48.0
241,-52.0
242,7.0
243,-7.0
244,6.0
245,-15.0
246,-6.0
247,16.0
248,107.0
249,2.0
250,-114.0
251,0.0
252,17.0
253,7.0
254,-23.0
255,0.0
256,-15.0
257,-40.0
258,34.0
259,23.0
260,23.0
261,-8.0
262,-6.0
263,0.0
264,31.0
265,-29.0
266,3.0
267,-12.0
268,7.0
269,3.0
270,-1.0
271,-21.0
272,33.0
273,-15.0
274,-8.0
275,-9.0
276,12.0
277,-3.0
278,-5.0
279,0.0
280,-4.0
281,9.0
282,25.0
283,-29.0
284,4.0
285,21.0
286,-14.0
287,-17.0
288,3.0
289,8.0
290,-19.0
291,-1.0
292,-6.0
293,-34.0
294,11.0
295,26.0
296,6.0
297,-6.0
298,27.0
299,-28.0
300,3.0
301,4.0
302,-26.0
303,6.0
304,8.0
305,-4.0
306,-13.0
307,11.0
308,43.0
309,-22.0
310,-5.0
311,-17.0
312,-12.0
313,-19.0
314,-7.0
315,29.0
316,-36.0
317,0.0
318,9.0
319,21.0
320,-2.0
321,4.0
322,-21.0
323,23.0
324,-16.0
325,8.0
326,-14.0
327,19.0
328,0.0
329,-11.0
330,7.0
331,1.0
332,9.0
333,-9.0
334,16.0
335,-21.0
336,26.0
337,-11.0
338,0.0
339,-11.0
340,11.0
341,11.0
342,7.0
343,-32.0
344,17.0
345,10.0
346,-16.0
347,-7.0
348,27.0
349,1.0
350,-5.0
351,-26.0
352,11.0
353,-32.0
354,27.0
355,-1.0
356,16.0
357,-10.0
358,3.0
359,-11.0
360,24.0
361,11.0
362,-19.0
363,-9.0
364,14.0
365,-1.0
366,11.0
367,-19.0
368,27.0
369,10.0
370,-8.0
371,-15.0
372,2.0
373,3.0
374,1.0
375,-7.0
376,21.0
377,-3.0
378,-31.0
379,25.0
380,10.0
381,-32.0
382,21.0
383,2.0
384,28.0
385,-12.0
386,-15.0
387,12.0
388,23.0
389,10.0
390,-30.0
391,7.0
392,41.0
393,-18.0
394,-19.0
395,4.0
396,24.0
397,-13.0
398,-10.0
399,10.0
400,5.0
401,-1.0
402,-6.0
403,11.0
404,19.0
405,-9.0
406,-2.0
407,12.0
408,15.0
409,26.0
410,-28.0
411,-2.0
412,16.0
413,-8.0
414,19.0
415,-15.0
416,41.0
417,-23.0
418,-27.0
419,25.0
420,21.0
421,2.0
422,-10.0
423,3.0
424,16.0
425,-1.0
426,-18.0
427,14.0
428,27.0
429,-26.0
430,-5.0
431,15.0
432,23.0
433,-25.0
434,-18.0
435,37.0
436,-2.0
437,-17.0
438,7.0
439,18.0
440,20.0
441,-28.0
442,-2.0
443,14.0
444,19.0
445,0.0
446,-7.0
447,10.0
448,31.0
449,-48.0
450,12.0
451,16.0
452,29.0
453,-24.0
454,-4.0
455,17.0
456,29.0
457,-35.0
458,1.0
459,25.0
460,-2.0
461,7.0
462,-7.0
463,17.0
464,39.0
465,-5.0
466,5.0
467,-18.0
468,41.0
469,-42.0
470,-4.0
471,12.0
472,22.0
473,-2.0
474,-24.0
475,20.0
476,13.0
477,15.0
478,-17.0
479,9.0
480,18.0
481,5.0
482,-19.0
483,24.0
484,25.0
485,-28.0
486,3.0
487,6.0
488,1.0
489,26.0
490,-19.0
491,1.0
492,24.0
493,13.0
494,2.0
495,-19.0
496,48.0
497,-20.0
498,-2.0
499,-9.0
500,9.0
501,0.0
502,-13.0
503,14.0
504,2.0
505,-167.0
506,-10.0
507,9.0
508,-14.0
509,-16.0
510,-15.0
511,44.0
512,4.0
513,-18.0
514,6.0
515,15.0
516,33.0
517,-4.0
518,-23.0
519,2.0
520,8.0
521,-20.0
522,-9.0
523,39.0
524,31.0
525,-2.0
526,-12.0
527,-3.0
528,24.0
529,-8.0
530,-26.0
531,15.0
532,30.0
533,-30.0
534,9.0
535,12.0
536,11.0
537,-27.0
538,6.0
539,35.0
540,20.0
541,-16.0
542,-17.0
543,19.0
544,-14.0
545,-16.0
546,-3.0
547,48.0
548,16.0
549,-20.0
550,-9.0
551,31.0
552,-5.0
553,17.0
554,-33.0
555,33.0
556,4.0
557,1.0
558,4.0
559,7.0
560,2.0
561,-16.0
562,-13.0
563,39.0
564,20.0
565,-19.0
566,9.0
567,5.0
568,-1.0
569,17.0
570,7.0
571,-16.0
572,11.0
573,1.0
574,-15.0
575,18.0
576,27.0
577,11.0
578,-11.0
579,-11.0
580,4.0
581,-21.0
582,11.0
583,13.0
584,21.0
585,-15.0
586,-9.0
587,9.0
588,32.0
589,-8.0
590,-24.0
591,15.0
592,18.0
593,-13.0
594,-2.0
595,14.0
596,0.0
597,1.0
598,-24.0
599,30.0
600,35.0
601,-22.0
602,13.0
603,-2.0
604,16.0
605,-13.0
606,-6.0
607,23.0
608,7.0
609,-14.0
610,16.0
611,12.0
612,11.0
613,-14.0
614,-5.0
615,28.0
616,44.0
617,-13.0
618,-12.0
619,-2.0
620,19.0
621,-9.0
622,-10.0
623,25.0
624,13.0
625,0.0
626,5.0
627,3.0
628,0.0
629,-14.0
630,9.0
631,18.0
632,4.0
633,10.0
634,-10.0
635,12.0
636,11.0
637,-10.0
638,-7.0
639,15.0
640,22.0
641,-15.0
642,-3.0
643,1.0
644,33.0
645,-22.0
646,3.0
647,1.0
648,26.0
649,-26.0
650,2.0
651,15.0
652,14.0
653,-38.0
654,33.0
655,3.0
656,8.0
657,-36.0
658,8.0
659,27.0
660,17.0
661,-16.0
662,-4.0
663,22.0
664,4.0
665,-12.0
666,6.0
667,24.0
668,3.0
669,-14.0
670,12.0
671,12.0
672,17.0
673,-42.0
674,4.0
675,34.0
676,20.0
677,-16.0
678,2.0
679,2.0
680,37.0
681,-30.0
682,-5.0
683,23.0
684,29.0
685,-7.0
686,21.0
687,-17.0
688,9.0
689,14.0
690,-4.0
691,-7.0
692,-1.0
693,19.0
694,-1.0
695,-6.0
696,14.0
697,4.0
698,3.0
699,-12.0
700,10.0
701,-13.0
702,30.0
703,-19.0
704,10.0
705,-12.0
706,1.0
707,15.0
708,-9.0
709,13.0
710,15.0
711,-3.0
712,20.0
713,-20.0
714,-18.0
715,22.0
716,-4.0
717,-8.0
718,-14.0
719,39.0
720,-10.0
721,20.0
722,9.0
723,-1.0
724,-1.0
725,5.0
726,5.0
727,5.0
728,12.0
729,-20.0
730,2.0
731,16.0
732,28.0
733,-35.0
734,14.0
735,4.0
736,-27.0
737,10.0
738,5.0
739,15.0
740,19.0
741,-14.0
742,7.0
743,-3.0
744,15.0
745,5.0
746,5.0
747,-6.0
748,3.0
749,10.0
750,-19.0
751,13.0
752,-5.0
753,-21.0
754,24.0
755,4.0
756,29.0
757,-29.0
758,-5.0
759,6.0
760,19.0
761,-17.0
762,1.0
763,3.0
764,39.0
765,-17.0
766,7.0
767,-24.0
768,24.0
769,-22.0
770,8.0
771,-2.0
772,13.0
773,-34.0
774,11.0
775,4.0
776,14.0
777,-3.0
778,5.0
779,-15.0
780,20.0
781,-16.0
782,15.0
783,-15.0
784,21.0
785,-6.0
786,14.0
787,-29.0
788,2.0
789,-6.0
790,16.0
791,-13.0
792,24.0
793,-37.0
794,2.0
795,5.0
796,-7.0
797,-14.0
798,-3.0
799,22.0
800,-16.0
801,-13.0
802,-8.0
803,36.0
804,14.0
805,-14.0
806,-1.0
807,-1.0
808,3.0
809,-12.0
810,24.0
811,-7.0
812,6.0
813,-12.0
814,6.0
815,-2.0
816,18.0
817,-9.0
818,-13.0
819,-3.0
820,22.0
821,-6.0
822,10.0
823,-24.0
824,22.0
825,-8.0
826,-6.0
827,-2.0
828,2.0
829,4.0
830,-4.0
831,-2.0
832,14.0
833,-1.0
834,2.0
835,-15.0
836,-19.0
